marca_temporal;identidad_de_genero;edad;maximo_nivel_de_formacion;que_carrera_de_grado_estudiaste;en_que_tipo_de_universidad_estudiaste_tu_carrera_de_grado;pais_en_el_que_trabajas;provincia_donde_trabajas;trabajo;rubro_de_la_empresa;cuantos_empleados_tiene_la_empresa;origen_del_capital;cuantas_personas_integran_el_area_de_rrhh;en_que_puesto_trabajas;tipo_de_contratacion;como_es_tu_jornada_laboral;cual_es_tu_funcion_principal_en_rrhh;cuantas_personas_tenes_a_cargo_pone_0_si_no_tenes_gente_a_cargo;hace_cuantos_anos_trabajas_en_la_empresa_donde_estas_0_para_menos_de_un_ano;hace_cuantos_anos_estas_en_tu_puesto_actual_0_para_menos_de_un_ano;cuantos_anos_de_experiencia_tenes_en_rrhh;cual_es_tu_remuneracion_bruta_mensual_en_tu_moneda_local_antes_de_impuestos_y_deducciones;que_beneficios_tenes;recibis_bonos;frecuencia_del_bono;tuviste_ajustes_por_inflacion_en_2022;cual_fue_el_porcentaje_de_aumento_acumulado_que_tuviste_en_2022;mes_del_ultimo_ajuste;trabajas_en_proyectos_independientes_ademas_de_tu_empleo;queres_contestar_mas_preguntas_30;van_a_ver_los_partidos_de_la_copa_del_mundo_de_futbol_en_la_oficina;se_permite_bloquear_la_agenda_durante_los_partidos_de_tu_seleccion_en_el_mundial;te_exigieron_saber_un_idioma_extranjero_ingles_portugues_etc_para_entrar_a_trabajar_en_tu_empresa;que_porcentaje_del_tiempo_usas_el_idioma_extranjero_en_tu_puesto_actual;que_tan_satisfecho_estas_con_tu_empresa;estas_buscando_trabajo;que_tan_de_acuerdo_estas_con_la_siguiente_frase_tengo_un_plan_de_desarrollo_claro_dentro_de_la_organizacion;cual_es_la_anecdota_mas_graciosa_o_bizarra_que_te_haya_sucedido_trabajando_en_rrhh;en_tu_empresa_sentis_que_rrhh_tiene_un_rol_importante_dentro_de_la_toma_de_decisiones_de_la_empresa;recursos_humanos_deberia_tener_un_colegio_profesional_como_abogacia_por_ejemplo;fundamenta_tu_respuesta_a_la_pregunta_anterior;participas_en_alguna_comunidad_de_rrhh;en_cuales;cual_es_la_tarea_que_mas_odias_trabajando_en_rrhh_actual_o_pasada;queres_contestar_mas_preguntas_45;te_identificas_como_lgbtiq_lesbiana_gay_bisexual_transexual_otra_minoria_sexual;tenes_alguna_discapacidad;en_tu_empresa_puedes_ser_como_realmente_eres_por_ej_expresar_abiertamente_tu_personalidad_tu_identidad_de_genero_orientacion_sexual_etc;que_porcentaje_aproximado_del_management_de_tu_empresa_son_mujeres_entiendase_posiciones_de_jefatura_de_gerencia_o_de_direccion;en_lo_que_va_del_ano_han_contratado_en_tu_empresa_a_personas_mayores_de_50_anos;en_lo_que_va_del_ano_han_contratado_en_tu_empresa_a_personas_con_discapacidad;es_importante_incorporar_el_lenguaje_inclusivo_en_la_organizacion;en_tu_organizacion_existe_una_linea_segura_o_politicas_definidas_para_actuar_frente_a_situaciones_de_acoso_o_discriminacion;sufriste_alguna_situacion_de_acoso_abuso_o_de_discriminacion_en_algun_trabajo;sentis_que_tu_entorno_laboral_es_machista
2022-10-07T12:43:50Z;Hombre cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Otros;251 - 500;Nacional;;Gerente;Indeterminado;Full time;Relaciones laborales;4;;0;14;176000;No tengo beneficios adicionales;No recibo bono;No recibo bono;2 ajustes;;Julio;No;Si;Sí;Sí, formalmente está avalado por la empresa;No;0;3;No estoy buscando cambiar;3;;Se dice que sí, pero en la práctica no tiene un rol importante;No;NA;No;;Organizar la fiesta/regalos de fin de año;Si;No;No tengo ninguna discapacidad;De acuerdo;0.2;No;No;Ni de acuerdo ni en desacuerdo;No;No;No es un entorno machista
2022-10-07T13:15:05Z;Mujer cis;31 - 35;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;101 - 250;Multinacional;;HRBP;Indeterminado;Full time;Reclutamiento y selección;0;;2;4;190000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de internet, Equipamiento ergonómico de teletrabajo, Home office, Idiomas, Reintegros en capacitación, Cumpleaños libre, plataforma de descuento, semana libre en navidad o Año Nuevo;Menos de un sueldo;Trimestral;3 o más ajustes;;Octubre;No;No;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-07T13:20:44Z;Hombre cis;41 - 45;Maestría o superior en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Mendoza;Relación de Dependencia;Industrias químicas;101 - 250;Multinacional;;Gerente;Indeterminado;Full time;Generalista;5;;7;20;736000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Abono de celular, Combustible, Comedor / Almuerzos, Home office, Idiomas, Posgrados, Préstamos, Reintegros en capacitación;Dos sueldos;Anual;2 ajustes;;Julio;No;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;Si;0.3;5;No,  pero escucho ofertas;3;;Si, tiene un rol importante real;Si;NA;Si;;Archivar;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.1;No;No;Totalmente de acuerdo;Si;No;Si pero no es tanto
2022-10-07T13:27:57Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;La Pampa;Relación de Dependencia;Servicios de salud;51 - 100;Nacional;;Gerente;Indeterminado;Full time;Generalista;0;;1;6;300000;Horarios flexibles, Home office, Posgrados, Préstamos, Reintegros en capacitación;No recibo bono;No recibo bono;1 solo;;Octubre;Si, en emprendimiento no relacionado con RRHH;Si;No;No está permitido;No;NA;4;No,  pero escucho ofertas;3;;Si, tiene un rol importante real;No se;controversial diria, no todos los colegios tienen el funcionamiento esperado. suelen quitar mas de lo que dan. cada uno se maneja con sus propios criterios y marcos teóricos rigidos. en mi experiencia con el colegio de psicólogos.;No;;Archivar;Si;Si;No tengo ninguna discapacidad;De acuerdo;1;No;Si;De acuerdo;Si;No;Si, es muy machista
2022-10-07T14:04:31Z;Hombre cis;31 - 35;Universitario en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Tecnologías de información;251 - 500;Nacional;;Responsable;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;9;9;180000;Medicina prepaga / Plan de salud, Horarios flexibles, Abono de internet, Home office, Préstamos;Variable en función de los resultados de compañía;Anual;2 ajustes;;Agosto;No;No;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-07T14:21:21Z;Mujer cis;36 - 40;Universitario completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Construcción;501 - 1.000;Multinacional;;Responsable;Indeterminado;Full time;Reclutamiento y selección;0;;0;20;220000;Medicina prepaga / Plan de salud, Abono de celular, Comedor / Almuerzos, Home office;Un sueldo;Anual;1 solo;;Agosto;Si, en emprendimiento relacionado con RRHH;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;4;No,  pero escucho ofertas;3;;Si, tiene un rol importante real;Si;Creo que estar matriculado o avalado por una institución seria algo que nos aportaría mucho como profesionales y en nuestro rol.;Si;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.3;No;No;Ni de acuerdo ni en desacuerdo;Si;No;Si pero no es tanto
2022-10-07T15:36:07Z;Mujer cis;31 - 35;Diplomado de posgrado completo;Psicología;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;1.001 - 2.500;Nacional;;Analista;Indeterminado;Full time;Reclutamiento y selección;0;;1;2;355000;Comedor / Almuerzos;No recibo bono;No recibo bono;1 solo;;Septiembre;No;Si;Sí;No está permitido;No;0.1;3;No,  pero escucho ofertas;2;;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;Si;;NA;Si;No;No tengo ninguna discapacidad;En desacuerdo;0.6;No;No;Ni de acuerdo ni en desacuerdo;No;Si;Si, es muy machista
2022-10-07T17:47:55Z;Hombre cis;51 - 55;Maestría o superior completa;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Textiles, vestido, cuero, calzado;101 - 250;Nacional;;Gerente;Indeterminado;Full time;Generalista;2;;8;25;430000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Combustible, Home office, Posgrados;No recibo bono;No recibo bono;2 ajustes;;Septiembre;No;Si;Sí;Sí, formalmente está avalado por la empresa;No;NA;4;No,  pero escucho ofertas;2;;Si, tiene un rol importante real;Si;NA;Si;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.4;Si;No;Totalmente en desacuerdo;No;No;Si pero no es tanto
2022-10-07T18:27:48Z;Hombre cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios financieros seguros;101 - 250;Nacional;;Jefe;Indeterminado;Full time;Generalista;1;;4;11;250000;Medicina prepaga / Plan de salud, Tarjeta de descuento, Home office, Garantías para alquilar;No recibo bono;No recibo bono;3 o más ajustes;;Septiembre;No;Si;No;No está permitido;No;0;3;Sí, activamente;4;;No tiene un rol importante en la toma de decisiones;Si;No cualquiera puede ejercer esta profesión;No;;Atender los reclamos constantesndel personal;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-07T19:37:46Z;Mujer cis;36 - 40;Diplomado de posgrado completo;Contador Público;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;5.001 - 10.000;Multinacional;;Gerente;Indeterminado;Full time;Compensaciones y beneficios;10;;2;12;1320000;Medicina prepaga / Plan de salud, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Gimnasio, Home office, Idiomas;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Octubre;Si, en emprendimiento relacionado con RRHH;Si;Trabajo full remoto;Sí, formalmente está avalado por la empresa;Si;0.7;4;No,  pero escucho ofertas;2;;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;Si;;Escribir politicas;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.3;No;Si;De acuerdo;Si;No;Si, es muy machista
2022-10-07T19:56:54Z;Mujer cis;25 - 30;Universitario en curso;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Buenos Aires;Relación de Dependencia;Servicios de salud;251 - 500;Multinacional;;Analista;Indeterminado;Full time;Administración de personal;0;;0;2;147500;Frutas y snacks, Préstamos;No recibo bono;No recibo bono;3 o más ajustes;;Diciembre;No;Si;Sí;Sí, formalmente está avalado por la empresa;No;0;4;No,  pero escucho ofertas;1;;Se dice que sí, pero en la práctica no tiene un rol importante;Si;NA;Si;;Archivar;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.5;Si;No;Ni de acuerdo ni en desacuerdo;No se;No;Si, es muy machista
2022-10-07T20:13:01Z;Mujer cis;46 - 50;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Servicios de salud;251 - 500;Nacional;;Jefe;Indeterminado;Full time;Generalista;4;;10;20;395000;Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Comedor / Almuerzos, Equipamiento ergonómico de teletrabajo, Home office;No recibo bono;No recibo bono;3 o más ajustes;;Agosto;Si, en emprendimiento relacionado con RRHH;Si;Trabajo full remoto;No me interesa;No;0;3;No,  pero escucho ofertas;3;;Si, tiene un rol importante real;Si;Nos permitiria mayor reconocimiento profesional y otros beneficios.;No;;Organizar la fiesta/regalos de fin de año;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.9;Si;Si;Ni de acuerdo ni en desacuerdo;Si;Si;Si pero no es tanto
2022-10-07T22:08:54Z;Hombre cis;51 - 55;Maestría o superior completa;Ingenieria Electronica;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Tecnologías de información;51 - 100;Nacional;;Analista;Indeterminado;Full time;Administración de personal;0;;2;2;180000;Medicina prepaga / Plan de salud, Horarios flexibles;No recibo bono;No recibo bono;2 ajustes;;Octubre;No;Si;Trabajo full remoto;no se hablo todavia;Si;0.1;4;No,  pero escucho ofertas;1;;Se dice que sí, pero en la práctica no tiene un rol importante;No;NA;No;;Organizar la fiesta/regalos de fin de año;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-07T22:45:31Z;Mujer cis;25 - 30;Universitario completo;Administración de Empresas;Universidad Pública;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Alimentación, bebidas;5.001 - 10.000;Multinacional;;HRBP;Indeterminado;Full time;Generalista;0;;1;2;188328;Tarjeta de descuento, Horarios flexibles, Vacaciones extendidas, Licencias extendidas, Abono de celular, Abono de internet, Comedor / Almuerzos, Frutas y snacks, Guadería, Gimnasio, Home office, D8as por mes libres - viernes flex - productos gratis de la compañia - politica pars trabajar fuera del pais por 2 meses;Variable en función de los resultados de compañía;Anual;3 o más ajustes;;Septiembre;No;No;NA;NA;NA;NA;NA;NA;NA;;NA;NA;NA;NA;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-08T13:21:07Z;Hombre cis;36 - 40;Diplomado de posgrado completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Medios de comunicación, cultura, gráficos;501 - 1.000;Nacional;;Responsable;Indeterminado;Full time;Payroll / Liquidación de sueldos;0;;7;12;237931;Medicina prepaga / Plan de salud, Horarios flexibles, Equipamiento ergonómico de teletrabajo, Gimnasio, Home office, Posgrados;No recibo bono;No recibo bono;3 o más ajustes;;Julio;Si, en emprendimiento relacionado con RRHH;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;2;Sí, activamente;1;;No tiene un rol importante en la toma de decisiones;Si;Para que podamos tener natricula y mejorar la calidad e imagen del área;Si;;Archivar;Si;No;No tengo ninguna discapacidad;De acuerdo;0.6;No;No;Totalmente en desacuerdo;Si;No;Si pero no es tanto
2022-10-08T17:48:33Z;Mujer cis;31 - 35;Universitario completo;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Ciudad Autónoma de Buenos Aires;Relación de Dependencia;Transporte (incluyendo aviación civil, ferrocarriles por carretera);2.501 - 5.000;Multinacional;;Jefe;Indeterminado;Full time;Reclutamiento y selección;4;;1;7;500000;Medicina prepaga / Plan de salud, Vacaciones extendidas, Licencias extendidas, Abono de celular, Home office;Un sueldo;Anual;2 ajustes;;Septiembre;No;Si;Sí;Sí, formalmente está avalado por la empresa;No;0.1;2;Sí, activamente;1;;Se dice que sí, pero en la práctica no tiene un rol importante;No se;NA;Si;;NA;No;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2022-10-09T23:41:01Z;Mujer cis;36 - 40;Maestría o superior en curso;RRHH / RRLL / RRTT;Universidad Privada;Argentina;Córdoba;Relación de Dependencia;Alimentación, bebidas;501 - 1.000;Nacional;;Jefe;Indeterminado;Full time;Cultura y bienestar;4;;1;14;600000;Medicina prepaga / Plan de salud, Abono de internet, Equipamiento ergonómico de teletrabajo, Frutas y snacks, Home office, Idiomas, Préstamos;No recibo bono;No recibo bono;2 ajustes;;Septiembre;Si, en emprendimiento relacionado con RRHH;Si;Sí;Si, bloqueo agenda aunque no haya un lineamiento de la empresa;No;0;5;No estoy buscando cambiar;1;;Si, tiene un rol importante real;Si;Para hacer foco en la mirada del ee. No ampararse únicamente en lo legal;Si;;Trámites presenciales en organismos públicos;Si;No;No tengo ninguna discapacidad;Totalmente de acuerdo;0.1;No;No;Ni de acuerdo ni en desacuerdo;No;No;Si, es muy machista
